Gene,C,Z,Pval,FDR,Module
LINC02202,0.044531573718349385,3.7761448097650443,7.96372074080507e-05,9.536659406177079e-05,
RANBP6,0.04524581713810729,3.775102844102629,7.997083119521447e-05,9.57584307116129e-05,
TBC1D10B,0.05492012210033481,3.7739361621642193,8.034594813098936e-05,9.619988511681063e-05,
WASHC5,0.03387635720390443,3.7733528026171403,8.053413290278505e-05,9.641746886749058e-05,
NR2F6,0.029342504231776673,3.7729784795049213,8.06551034018472e-05,9.655455357120645e-05,
AC131235.1,0.05184756424032664,3.7725469007822343,8.079478948250189e-05,9.671401945511673e-05,
ZNF135,0.0546699013681742,3.771797824851552,8.103777825586774e-05,9.699710656926773e-05,
MYEF2,0.03941432796120962,3.7716345992079177,8.10908173214616e-05,9.705280870409377e-05,
EMC2,0.046921878762032646,3.7709973828580012,8.129818927422789e-05,9.729319901358131e-05,
RELT,0.034544295470884376,3.7698424922109317,8.167530238392753e-05,9.773667137124309e-05,
TBCD,0.05516723957524299,3.7698020207505403,8.168854756598452e-05,9.774468533206019e-05,
AC112128.1,0.04301447335495925,3.769403617145494,8.181904188603683e-05,9.789298158326961e-05,
MRPL1,0.029170944082180156,3.769042822060634,8.193738701095228e-05,9.802671923639375e-05,
ZNF506,0.03555477416283246,3.76835398977778,8.216377968552746e-05,9.828968900191285e-05,
MITF,0.06424723442387165,3.767525665472687,8.243679737816622e-05,9.860838804903334e-05,
RPL13AP25,0.034796204861734195,3.76712945761479,8.256769000194922e-05,9.875704396306861e-05,
KANSL1,0.0490278699215472,3.7658478518088447,8.299242624077264e-05,9.925710652159387e-05,
DPF3,0.035104130430375524,3.7657888718629646,8.301202213892329e-05,9.927258888541162e-05,
C5orf15,0.03229859176061771,3.765613490427783,8.307031777871631e-05,9.933434538836002e-05,
CHMP1A,0.05670325837515551,3.765135770950981,8.322930399492775e-05,9.951648676163782e-05,
ARSK,0.07726483202284498,3.7639287006588096,8.363229632299352e-05,9.999033137471559e-05,
TMCO4,0.04266249692288239,3.763784764497942,8.368047313754505e-05,0.00010003991851066273,
KIAA1549,0.041182750593682,3.763513560313012,8.377131872866058e-05,0.00010014050409727849,
RANBP1,0.03496575668783261,3.763132348789833,8.389917047940353e-05,0.00010028530731470665,
LINC01429,0.02228145530382554,3.762112473039721,8.424212220573144e-05,0.00010068717736928122,
ELMOD2,0.04955746320533541,3.7619170674176563,8.430798124650867e-05,0.00010075782514544715,
RASEF,0.05925193230184864,3.761701637095867,8.438064549488491e-05,0.00010083659397183149,
AC007318.2,0.031692643366213184,3.7602342448789385,8.487716367572665e-05,0.00010142182374220074,
SNORC,0.0360434652471229,3.760091354769716,8.492565963517979e-05,0.00010147164983385326,
MCRIP2,0.04428887709865342,3.759696277861288,8.50598818206118e-05,0.00010162388794111351,
ANKDD1A,0.06161377380913436,3.758218245651435,8.556379550243582e-05,0.0001022177491368435,
AC027309.2,0.05434314893796049,3.7578007256495565,8.570665071900313e-05,0.0001023802156916261,
GPC6,0.0674188559331584,3.7575403357502886,8.579585713761138e-05,0.00010247857561759823,
CHCHD4,0.03930260556313322,3.756093269373528,8.629319780736532e-05,0.00010306437539370636,
CLUH,0.04855348555928602,3.755968878768807,8.63360757995768e-05,0.00010310733686377174,
MCUR1,0.06902714583229438,3.755660033367162,8.64426228331075e-05,0.00010322632248238366,
RNF40,0.04735433267537087,3.754416387595978,8.68729148519677e-05,0.00010373186145070969,
WSB2,0.04369733427400031,3.754011563884321,8.701341481699472e-05,0.00010389131682717008,
HARBI1,0.060311476492241514,3.7538828787263907,8.705812161942045e-05,0.00010392870227275572,
ZSCAN12,0.050788886122694485,3.7538813534386484,8.705865165261188e-05,0.00010392870227275572,
COMMD2,0.05149729919071401,3.753754028619502,8.710290737038137e-05,0.00010397321857798342,
SMU1,0.052699890680866696,3.7533409936487145,8.724661625864056e-05,0.00010413643378320228,
P3H3,0.04520272516311441,3.753110515871677,8.732690419981079e-05,0.00010422393051815589,
EPHX2,0.07195707758254903,3.752807526275921,8.7432557666489e-05,0.00010434168438500809,
ARFGAP2,0.03216869458115277,3.7522658531537707,8.762174048206318e-05,0.00010455909506561333,
OCIAD1-AS1,0.0719038473636162,3.7518846312828003,8.775511539508298e-05,0.00010470988069563578,
KNSTRN,0.08145747614420869,3.7518048200338794,8.778306244889928e-05,0.00010473485518141791,
ELAC2,0.03336565033330701,3.749065650337263,8.874731064552482e-05,0.0001058768467076206,
MRPS10,0.07644494697833776,3.7489206203354337,8.879864101748551e-05,0.00010592961835435197,
RNLS,0.06088879019969065,3.7488240457046778,8.883283709521983e-05,0.00010596194336905437,
