encoding,name,country,director,actor,vote,score,year,link
tt0031381,乱世佳人, 美国,维克多·弗莱明,"'费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔'",643370,9.3,1939,https://movie.douban.com/subject/1300267/
tt3153634,素媛, 韩国,李濬益,"'薛景求', '严志媛', '李来', '金海淑', '金相浩'",634870,9.3,2013,https://movie.douban.com/subject/21937452/
tt1049413,飞屋环游记, 美国,彼特·道格特,"'爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '德尔罗伊·林多'",1237130,9.1,2009,https://movie.douban.com/subject/2129039/
tt7362036,我不是药神, 中国大陆,文牧野,"'徐峥', '王传君', '周一围', '谭卓', '章宇'",1959975,9.0,2018,https://movie.douban.com/subject/26752088/
tt5074352,摔跤吧！爸爸, 印度,涅提·蒂瓦里,"'阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃'",1469888,9.0,2016,https://movie.douban.com/subject/26387939/
tt8267604,何以为家, 黎巴嫩 ,娜丁·拉巴基,"'赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫'",968240,9.1,2018,https://movie.douban.com/subject/30170448/
tt0050083,十二怒汉, 美国,西德尼·吕美特,"'亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布', 'E.G.马绍尔'",447228,9.4,1957,https://movie.douban.com/subject/1293182/
tt0347149,哈尔的移动城堡, 日本,宫崎骏,"'倍赏千惠子', '木村拓哉', '美轮明宏', '我修院达也', '神木隆之介'",941232,9.1,2004,https://movie.douban.com/subject/1308807/
tt0454876,少年派的奇幻漂流, 美国 ,李安,"'苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布'",1270025,9.1,2012,https://movie.douban.com/subject/1929463/
tt0245929,鬼子来了, 中国大陆,姜文,"'姜文', '香川照之', '袁丁', '姜宏波', '丛志军'",579614,9.3,2000,https://movie.douban.com/subject/1291858/
tt0264464,猫鼠游戏, 美国 ,史蒂文·斯皮尔伯格,"'莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯'",920876,9.1,2002,https://movie.douban.com/subject/1305487/
tt0112778,大话西游之月光宝盒, 中国香港 ,刘镇伟,"'周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚'",1142018,9.0,1995,https://movie.douban.com/subject/1299398/
tt1533117,让子弹飞, 中国大陆 ,姜文,"'姜文', '葛优', '周润发', '刘嘉玲', '陈坤'",1569871,9.0,2010,https://movie.douban.com/subject/3742360/
tt0092067,天空之城, 日本,宫崎骏,"'田中真弓', '横泽启子', '初井言荣', '寺田农', '常田富士男'",767003,9.1,1986,https://movie.douban.com/subject/1291583/
tt0253474,钢琴家, 英国 ,罗曼·波兰斯基,"'艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德'",570243,9.3,2002,https://movie.douban.com/subject/1296736/
