encoding,name,description,country,director,actor,vote,score,year,link
tt0817177,怦然心动,"布莱斯（卡兰•麦克奥利菲 Callan McAuliffe 饰）全家搬到小镇，邻家女孩朱丽（玛德琳•卡罗尔 Madeline Carroll 饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班..."" ", 美国,罗伯·莱纳,"'玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼'",1709608人评价,9.1,2010,https://movie.douban.com/subject/3319755/
tt0096283,龙猫,"小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更..."" ", 日本,宫崎骏,"'日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣'",1182125人评价,9.2,1988,https://movie.douban.com/subject/1291560/
tt0093389,末代皇帝,"溥仪（尊龙 饰）的一生在电影中娓娓道来。他从三岁起登基，年幼的眼光中只有大臣身上的一只蝈蝈，江山在他心中只是一个不明所以的名词。长大了，他以为可以变革，却被太监一把火烧了朝廷账本。他以为自己是大清江山..."" ", 英国 ,贝纳尔多·贝托鲁奇,"'尊龙', '陈冲', '邬君梅', '彼得·奥图尔', '英若诚'",802812人评价,9.3,1987,https://movie.douban.com/subject/1293172/
tt2380307,寻梦环游记,"热爱音乐的米格尔（安东尼·冈萨雷兹 Anthony Gonzalez 配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节即..."" ", 美国,李·昂克里奇,"'安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托'",1531683人评价,9.1,2017,https://movie.douban.com/subject/20495023/
tt0468569,蝙蝠侠：黑暗骑士,"从亲眼目睹父母被人杀死的阴影中走出来的“蝙蝠侠”，经历了成长之后，已经不再是那个桀骜不的孤单英雄了。在警官吉姆·戈登和检查官哈维·登特的通力帮助下，“蝙蝠侠”无后顾之忧地继续满世界的奔波，与日益增长起..."" ", 美国 ,克里斯托弗·诺兰,"'克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔'",986395人评价,9.2,2008,https://movie.douban.com/subject/1851857/
tt0110081,活着,, 中国大陆 ,张艺谋,"'葛优', '巩俐', '姜武', '牛犇', '郭涛'",773277人评价,9.3,1994,https://movie.douban.com/subject/1292365/
tt0241527,哈利·波特与魔法石,"哈利波特是一个孤儿，从小寄养在姨妈家，受尽欺凌。但就在哈利11岁生日的时候，他意外收到了霍格沃茨学院的入学通知书。哈利从该学院派来接他的巨人海格口中得知，这是一间魔法学院，并得知了自己的身世，原来哈利..."" ", 美国 ,克里斯·哥伦布,"'丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '艾伦·瑞克曼', '玛吉·史密斯'",1079856人评价,9.2,2001,https://movie.douban.com/subject/1295038/
tt0167260,指环王3：王者无敌,"魔幻战争逐渐进入高潮阶段。霍比特人佛罗多（伊利亚·伍德 Elijah Wood 饰）携带着魔戒，与伙伴山姆（西恩·奥斯汀 Sean Astin 饰）以及狡猾阴暗的咕噜等前往末日山，一路上艰难险阻不断，..."" ", 美国 ,彼得·杰克逊,"'伊利亚·伍德', '西恩·奥斯汀', '维果·莫腾森', '奥兰多·布鲁姆', '伊恩·麦克莱恩'",746250人评价,9.3,2003,https://movie.douban.com/subject/1291552/
tt0031381,乱世佳人,"美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费雯·丽 Vivien Leigh 饰）爱上了另一个农场主的儿子艾希礼（莱斯利·霍华德 Leslie Howard 饰），遭到了拒绝，为了报复，她嫁给了..."" ", 美国,维克多·弗莱明,"'费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔'",643317人评价,9.3,1939,https://movie.douban.com/subject/1300267/
tt3153634,素媛,"她（李来 饰）是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲（严智媛 饰）作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，..."" ", 韩国,李濬益,"'薛景求', '严志媛', '李来', '金海淑', '金相浩'",634787人评价,9.3,2013,https://movie.douban.com/subject/21937452/
