Phylum,Class,Order,Family,Genus,Species
Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Picobirnavirus GI/PBV/Bovine/India/PTN/2009 P2
Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Picobirnavirus GI/PBVBovine/India/PTN/2011 P120
Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Picobirnavirus GII/PBV/Bovine/India/HP/2012 H7
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus 2
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus 3
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Porcine circovirus-like agent PCVL201
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Porcine circovirus-like agent PCVL347
,,,,,Porcine faeces associated circular DNA molecule-1
Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,Porprismacovirus,Porprismacovirus bovas1
Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,Porprismacovirus,Porprismacovirus bovas2
Duplornaviricota,Resentoviricetes,Reovirales,Reoviridae,,Reovirus sp.
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus B
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Royal Farm virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Ruminantia gammaherpesvirus 3
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Sabo orthobunyavirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Sango orthobunyavirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Schmallenberg orthobunyavirus
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Sathuvachari virus
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Senecavirus,Senecavirus A
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Sepik virus
Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykibivirus,Gemykibivirus sewopo1
Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,SFTS phlebovirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Schmallenberg orthobunyavirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Shuni orthobunyavirus
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,Small ruminant morbillivirus
,,,,,Statovirus D1
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1
Negarnaviricota,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus,Tacheng orthonairovirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Uukuvirus,Tacheng uukuvirus
Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Thogotovirus,Thogotovirus thogotoense
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Tibrovirus,Tibrovirus tibrogargan
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,,Trubanaman virus
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 6
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Copiparvovirus,Ungulate copiparvovirus 1
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Erythroparvovirus,Ungulate erythroparvovirus 1
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Ungulate protoparvovirus 1
Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Thogotovirus,Thogotovirus upoluense
