Gene,C,Z,Pval,FDR,Module
RPS29,0.3294796165282348,92.17929705036087,0.0,0.0,3.0
FAM160A1,0.18897580028499378,90.13530056241189,0.0,0.0,2.0
OLFM4,0.13765525673167603,84.59155031988637,0.0,0.0,1.0
CD36,0.4111644911877804,83.70339458853394,0.0,0.0,5.0
RPL26,0.42205920454564344,81.09205450665742,0.0,0.0,3.0
ATP8B4,0.30452324916344886,80.42770474018022,0.0,0.0,1.0
AC023590.1,0.2612457218784197,79.08520850768812,0.0,0.0,2.0
IGLC3,0.04463567618146899,78.1371637365196,0.0,0.0,4.0
ANXA3,0.21484927502055678,77.69069815491618,0.0,0.0,1.0
ARHGAP24,0.36953628986978315,76.7257327815107,0.0,0.0,5.0
HDAC9,0.36806657718572716,76.63298176740632,0.0,0.0,5.0
RPL38,0.4076684868519371,72.09158542214115,0.0,0.0,3.0
TSHZ2,0.35346795177206436,71.12222457436506,0.0,0.0,6.0
P3H2,0.13258115337397205,71.01906389368544,0.0,0.0,2.0
DEFA3,0.22057404717229842,70.94673639053732,0.0,0.0,1.0
PSAP,0.36020457170622117,70.09394088664557,0.0,0.0,5.0
PDE4B,0.30512740883071177,69.4752369027048,0.0,0.0,19.0
RGS7,0.28061165072134475,68.6918795894849,0.0,0.0,2.0
MMP8,0.23303056698932023,67.83902099112318,0.0,0.0,1.0
DPYD,0.2555662570355961,65.74218083498218,0.0,0.0,5.0
SNORD104,0.33595050679872573,62.77469927984903,0.0,0.0,3.0
SOX2-OT,0.060081904314724356,62.0786334352541,0.0,0.0,53.0
ARG1,0.15141069567348336,60.9690244448281,0.0,0.0,1.0
RPL30,0.3160489428679155,60.73774822299695,0.0,0.0,3.0
MT-CO2,0.3470635793579272,60.09081275904443,0.0,0.0,3.0
PELI1,0.3245467027900975,59.96738483834317,0.0,0.0,5.0
IRF8,0.2390260696846781,59.12969149663371,0.0,0.0,2.0
MT-RNR1,0.25596687568269916,59.02720849601613,0.0,0.0,3.0
NELL2,0.3666112829434073,58.55399636692194,0.0,0.0,6.0
RPL34,0.27996592483337784,58.23099342616817,0.0,0.0,3.0
RPS11,0.3150338500121504,58.190937731444336,0.0,0.0,3.0
NR3C2,0.30232979168617724,57.30310475365779,0.0,0.0,6.0
RPS21,0.28577172176933474,56.44253562508163,0.0,0.0,3.0
ARHGAP26,0.24341150323698155,56.3644267519517,0.0,0.0,5.0
HIVEP2,0.35344451739699684,55.9939647266338,0.0,0.0,6.0
RPL37,0.2400393671935035,55.27154784972576,0.0,0.0,3.0
RPLP2,0.27276136543692603,55.13846671816556,0.0,0.0,3.0
RPL32,0.2693517566137029,54.825077613361096,0.0,0.0,3.0
WDFY3,0.29892922927892185,54.815797876853466,0.0,0.0,5.0
LCN2,0.20199512331079156,54.70935913368891,0.0,0.0,1.0
DACH1,0.1842534788919104,54.381692738082904,0.0,0.0,2.0
RPL11,0.25500251998685647,53.47839784216191,0.0,0.0,3.0
IL6ST,0.30658823258301604,53.322569785438446,0.0,0.0,54.0
FOS,0.24622611171673986,53.12994396205588,0.0,0.0,5.0
MALAT1,0.23293694351131353,53.11855096441361,0.0,0.0,6.0
CXCL8,0.17634983777453161,51.77786610870656,0.0,0.0,5.0
RPL37A,0.24232361248517315,51.55617919534433,0.0,0.0,3.0
HBG1,0.21820885270135498,51.138242522463656,0.0,0.0,21.0
MZB1,0.2088515138437583,51.09200481267629,0.0,0.0,4.0
FHIT,0.2781149813039085,50.90463643723005,0.0,0.0,38.0
PID1,0.2720304955839372,50.873249314457745,0.0,0.0,5.0
FGL2,0.2862856858659416,50.85861858806706,0.0,0.0,5.0
RPS8,0.26639647475304223,50.492449517312096,0.0,0.0,3.0
RPS3,0.2766197329366998,50.336507536466705,0.0,0.0,3.0
TNFRSF17,0.20154368226402994,49.887380488561305,0.0,0.0,4.0
RNA5SP54,0.201546239382388,49.78075391617835,0.0,0.0,44.0
RNU4ATAC,0.29475268920931874,49.75957392218884,0.0,0.0,24.0
RPL13A,0.24882739449603666,49.45857249216141,0.0,0.0,3.0
FAR1,0.2849452143413081,49.357784723786864,0.0,0.0,5.0
CCDC50,0.20967446248510835,49.16222491985419,0.0,0.0,2.0
NEAT1,0.2130193139240111,48.82214811290044,0.0,0.0,5.0
