Host,HostTaxID
anas capensis,8837
anas carolinensis,75836
anas castanea,45631
anas crecca,75839
anas cyanoptera,75840
anas diazi,75841
anas erythrorhyncha,75843
anas flavirostris,75845
anas fulvigula,75846
anas georgica,75847
anas gracilis,45630
anas melleri,75852
anas platalea,75853
anas platyrhynchos,8839
anas poecilorhyncha,75854
anas puna,75855
anas querquedula,75856
anas rubripes,75857
anas smithii,75859
anas superciliosa,45632
anas undulata,75862
anas versicolor,75863
anastomus oscitans,1706835
anaxyrus boreas,30325
andrias davidianus,141262
anguilla anguilla,7936
anguilla australis,7940
anguilla japonica,7937
anguilla marmorata,7939
anguilla rostrata,7938
anodorhynchus hyacinthinus,51900
anodorhynchus leari,178882
anolis allogus,141892
anolis carolinensis,28377
anolis distichus,38893
anolis sagrei,38937
anoura caudifer,27642
anoura geoffroyi,148021
anourosorex squamipes,127560
anourosorex yamashinai,268756
anous tenuirostris,297803
anser albifrons,50365
anser anser,8843
anser brachyrhynchus,132585
anser caerulescens,8849
anser canagicus,107021
anser cygnoides,8845
anser erythropus,132586
anser fabalis,132587
anser indicus,8846
antaresia maculosa,51891
antaresia perthensis,461324
antaresia stimsoni,461325
antennarius striatus,241820
anthochaera chrysoptera,266367
anthus berthelotii,45798
anthus rufulus,1463608
antidorcas marsupialis,59523
antigone canadensis,1977160
antigone vipio,2717088
antilocapra americana,9891
antilope cervicapra,59525
antrostomus carolinensis,279965
antrozous dubiaquercus,249033
antrozous pallidus,9440
aonyx cinereus,452597
aotus azarai,30591
aotus griseimembra,292213
aotus nancymaae,37293
aotus trivirgatus,9505
aotus vociferans,57176
aphelocoma californica,142466
aplodinotus grunniens,225389
apodemus agrarius,39030
apodemus chejuensis,754351
apodemus chevrieri,129246
apodemus draco,129247
apodemus flavicollis,54292
apodemus ilex,256595
apodemus latronum,214933
apodemus peninsulae,105297
apodemus ponticus,134909
apodemus speciosus,105296
apodemus sylvaticus,10129
apodemus uralensis,134910
aprosmictus erythropterus,274068
aptenodytes patagonicus,9234
apteryx rowi,308060
aquila adalberti,52408
aquila audax,8961
aquila chrysaetos,8962
aquila fasciata,252784
aquila heliaca,52410
ara ambiguus,467031
ara ararauna,9226
ara chloropterus,176013
ara glaucogularis,303304
ara macao,176014
ara militaris,57237
ara rubrogenys,467030
ara severus,178883
aratinga jandaya,231027
aratinga nenday,51908
aratinga solstitialis,176015
arctocephalus australis,161928
arctocephalus forsteri,29084
arctocephalus gazella,37190
arctocephalus tropicalis,37194
ardea alba,110620
ardea cinerea,30390
ardea herodias,56072
ardenna carneipes,1934105
ardenna pacifica,48683
ardeola bacchus,188375
ardeola grayii,1158920
arenaria interpres,54971
arenaria melanocephala,279931
argentina silus,446415
argentina sphyraena,442169
argyrosomus regius,172269
arremon taciturnus,1109026
artibeus fimbriatus,51010
artibeus glaucus,40226
artibeus jamaicensis,9417
artibeus lituratus,27634
artibeus obscurus,40228
artibeus phaeotis,40229
artibeus planirostris,40230
arundinax aedon,68478
arvicanthis niloticus,61156
arvicola amphibius,1047088
aselliscus stoliczkanus,188568
asio flammeus,56267
asio otus,111810
aspidites melanocephalus,51883
aspidites ramsayi,461326
astronotus ocellatus,50733
astyanax mexicanus,7994
atelerix albiventris,9368
ateles belzebuth,9507
ateles chamek,118643
ateles fusciceps,9508
ateles geoffroyi,9509
ateles hybridus,129801
ateles paniscus,9510
athene noctua,126797
