Host,HostTaxID
hylomyscus stella,41265
hylopetes phayrei,100945
hynobius nebulosus,294368
hypocnemis cantator,88175
hypophthalmichthys molitrix,13095
hypophthalmichthys nobilis,7965
hyporhamphus australis,159453
hyporhamphus sajori,293917
hyporthodus septemfasciatus,232417
hypothymis azurea,107210
hypseleotris klunzingeri,166778
hypsignathus monstrosus,448084
hypsipetes amaurotis,374649
hypsugo alaschanicus,999321
hypsugo pulveratus,867834
hypsugo savii,109485
hystrix brachyura,143286
ia io,360967
iberolacerta cyreni,178820
iberolacerta monticola,178821
ichneumia albicauda,205599
ichthyaetus ichthyaetus,126702
ichthyaetus leucophthalmus,328043
ichthyaetus melanocephalus,1288290
ichthyophis bannanicus,8453
ichthyosaura alpestris,54263
ichthyscopus lebeck,270582
ictalurus furcatus,66913
ictalurus punctatus,7998
icteria virens,135437
icterus spurius,84829
ictinia mississippiensis,371914
iguana iguana,8517
indopacetus pacificus,221924
indotestudo forstenii,260613
indri indri,34827
inia boliviensis,149089
inimicus japonicus,652442
isleria hauxwelli,88177
isoodon obesulus,65612
ixobrychus eurhythmus,670346
ixobrychus sinensis,188382
johnius dussumieri,459284
junco hyemalis,40217
jynx torquilla,189526
kaloula pulchra,167934
kareius bicoloratus,143345
katsuwonus pelamis,8226
kerivoula argentata,1429989
kerivoula titania,633648
kinosternon subrubrum,142487
kobus ellipsiprymnus,9962
kogia breviceps,27615
kogia sima,9752
kryptopterus bicirrhis,310914
kuhlia rupestris,274803
labeo catla,72446
labeo rohita,84645
labroides dimidiatus,241309
labrus bergylta,56723
lacerta schreiberi,80442
laephotis capensis,110938
lagenodelphis hosei,103594
lagenorhynchus acutus,90246
lagenorhynchus albirostris,27610
lagenorhynchus obliquidens,90247
lagopus lagopus,52650
lagopus muta,64668
lagothrix lagotricha,9519
lagothrix lugens,767355
lagurus lagurus,175522
lama glama,9844
lama guanicoe,9840
lampetra fluviatilis,7748
lampropeltis californiae,1240242
lampropeltis triangulum,140017
lanius cristatus,337178
lanius ludovicianus,28713
lanius schach,276763
larimichthys crocea,215358
larus argentatus,35669
larus armenicus,119635
larus californicus,126681
larus canus,28681
larus crassirostris,179808
larus delawarensis,126683
larus dominicanus,37036
larus fuscus,8915
larus glaucescens,119606
larus glaucoides,118194
larus hyperboreus,119637
larus marinus,8912
larus michahellis,119627
larus mongolicus,119967
larus schistisagus,119607
larus smithsonianus,243888
larvivora sibilans,433637
lasionycteris noctivagans,27667
lasiopodomys gregalis,1449541
lasiurus blossevillii,258932
lasiurus borealis,258930
lasiurus seminolus,258929
lateolabrax japonicus,8164
lateolabrax maculatus,315492
lates calcarifer,8187
lathamus discolor,678569
latris lineata,97162
leiognathus equulus,218804
leiopotherapon unicolor,317033
leiothlypis celata,62259
leiothrix argentauris,201335
leiothrix lutea,36275
lemmus sibiricus,84769
lemniscomys rosalia,121566
lemniscomys striatus,121567
lemur catta,9447
leontocebus nigricollis,9489
leontopithecus chrysomelas,57374
leontopithecus rosalia,30588
leopardus geoffroyi,46844
leopardus guigna,61386
leopardus pardalis,32538
leopardus wiedii,61382
leopoldamys neilli,857467
leopoldamys sabanus,69073
lepidochelys kempii,8472
lepidochelys olivacea,27788
lepidotrigla alata,670522
lepilemur mustelinus,9453
lepomis gibbosus,270329
lepomis macrochirus,13106
leptailurus serval,61405
leptobrachium hainanense,461283
leptonychotes weddellii,9713
leptoptilos crumeniferus,33589
leptotila rufaxilla,115657
lepus americanus,48086
lepus capensis,9981
lepus corsicanus,100181
lepus europaeus,9983
lepus granatensis,100182
lepus timidus,62621
lethenteron camtschaticum,980415
leuciscus aspius,98928
leuciscus idus,69811
leucophaeus atricilla,126679
leucophaeus pipixcan,690715
leucophaeus scoresbii,328019
leucosticte tephrocotis,217134
lichonycteris obscura,1001577
limanda limanda,27771
limnodynastes ornatus,104071
limosa limosa,161680
linaria flavirostris,90717
liomys pictus,323369
lissonycteris angolensis,58071
lissotriton boscai,323757
lissotriton vulgaris,8324
lithobates catesbeianus,8400
lithobates clamitans,145282
lithobates grylio,190277
lithobates palustris,298395
lithobates pipiens,8404
lithobates septentrionalis,190274
lithobates sylvaticus,45438
lithognathus mormyrus,50591
liza parsia,568895
lonchorhina aurita,148061
lonchura atricapilla,1036803
lonchura maja,414889
lonchura punctulata,414892
lonchura striata,40157
lontra canadensis,76717
lophiomus setigerus,292417
lophius litulon,30790
lophocebus albigena,75567
lophocebus aterrimus,75566
lophochroa leadbeateri,471713
lophodytes cucullatus,279951
lophophorus impejanus,9040
lophura erythrophthalma,140443
lophura leucomelanos,140445
lophura nycthemera,9046
lophuromys aquilus,1162392
lophuromys dudui,2661599
lophuromys laticeps,2082263
lophuromys machangui,2082264
lophuromys nudicaudus,1116258
lophuromys sikapusi,83535
lophuromys stanleyi,2082267
lorius chlorocercus,471714
lota lota,69944
loxia curvirostra,64802
loxioides bailleui,286692
loxodonta africana,9785
loxodontomys micropus,89122
luscinia cyane,228306
lutjanus campechanus,40505
lutjanus gibbus,396786
lutjanus stellatus,211833
lutra lutra,9657
lycalopex fulvipes,354191
lycalopex gymnocercus,425201
lycalopex vetulus,68734
lycaon pictus,9622
lycodon rufozonatus,74361
lynx canadensis,61383
lynx lynx,13125
lynx pardinus,191816
lynx rufus,61384
lyrurus tetrix,1233216
macaca arctoides,9540
macaca assamensis,9551
macaca balantak,281404
macaca balantak x tonkeana,281405
macaca cyclopis,78449
macaca fascicularis,9541
macaca fuscata,9542
macaca leonina,90387
macaca maura,90383
macaca mulatta,9544
macaca nemestrina,9545
macaca radiata,9548
macaca silenus,54601
macaca sylvanus,9546
macaca thibetana,54602
macaca tonkeana,40843
maccullochella peelii,135761
macroglossus minimus,29076
macroglossus sobrinus,326083
macrognathus aculeatus,138129
macronectes giganteus,37057
macronycteris commersoni,110941
macronycteris gigas,584996
macronycteris vittata,2603869
macropodus opercularis,158451
macropus fuliginosus,9316
macropus giganteus,9317
macroramphosus scolopax,206124
macrourus berglax,473319
malacocephalus occidentalis,630739
malacochersus tornieri,286009
malacomys longipes,112226
malacorhynchus membranaceus,45646
malakichthys elegans,223801
malayopython reticulatus,1496311
malayopython timoriensis,51753
malurus cyaneus,55807
mandrillus leucophaeus,9568
mandrillus sphinx,9561
manis javanica,9974
manis pentadactyla,143292
manorina melanocephala,44314
mareca americana,75832
mareca falcata,75844
mareca penelope,8838
mareca sibilatrix,75858
mareca strepera,75861
marmosa murina,126295
marmosa paraguayana,225729
marmosets,38020
marmota caudata,71802
marmota flaviventris,93162
marmota himalayana,93163
marmota monax,9995
martes americana,9660
martes foina,9659
martes martes,29065
martes pennanti,76720
martes zibellina,36722
mastomys awashensis,644772
mastomys coucha,35658
mastomys erythroleucus,41268
mastomys natalensis,10112
mauremys megalocephala,260622
mauremys sinensis,260630
maxomys surifer,69081
mazama nana,397613
megaderma lyra,9413
megadyptes antipodes,37085
megaerops kusnotoi,374419
megaerops niphanae,77233
megaloglossus woermanni,58073
megaptera novaeangliae,9773
megascops choliba,507958
melanerpes carolinus,56083
melanitta americana,1581554
melanitta fusca,371864
melanitta nigra,198027
melanitta perspicillata,371863
melanogrammus aeglefinus,8056
melanospiza bicolor,111991
melanotaenia fluviatilis,120844
meleagris gallopavo,9103
meles leucurus,702266
meles meles,9662
mellivora capensis,9664
melogale moschata,204267
melomys burtoni,36796
melopsittacus undulatus,13146
melospiza melodia,44397
melursus ursinus,9636
mephitis macroura,30547
mephitis mephitis,30548
mergellus albellus,107026
mergus merganser,8880
meriones libycus,298886
meriones meridianus,261754
meriones shawi,37435
meriones tamariscinus,504099
meriones unguiculatus,10047
merlangius merlangus,8058
merluccius productus,89952
merops apiaster,265611
merops ornatus,361449
mesocricetus auratus,10036
mesophylla macconnelli,148094
mesoplodon bidens,48745
mesoplodon densirostris,48708
mesoplodon europaeus,27616
mesoplodon stejnegeri,52114
meuschenia flavolineata,2609496
micaelamys namaquensis,472707
microcanthus strigatus,163146
microcarbo niger,1517963
microcebus murinus,30608
microeca fascinans,461219
microgale cowani,329863
microgale dobsoni,1206715
microgale gymnorhyncha,1497433
microgale jobihely,364245
microgale longicaudata,229052
microgale majori,469768
microgale principula,229053
microgale taiva,364246
microhyla fissipes,387934
microhyla pulchra,143527
micromesistius poutassou,81636
micromys minutus,13151
micropogonias furnieri,278729
micropteropus pusillus,77235
micropterus dolomieu,147949
micropterus salmoides,27706
microstomus kitt,106175
microstomus pacificus,89058
microtus agrestis,29092
microtus arvalis,47230
microtus californicus,100895
microtus dogramacii,269652
microtus duodecimcostatus,184257
microtus fortis,100897
microtus guentheri,269655
microtus levis,537919
microtus majori,269657
microtus maximowiczii,470139
microtus montanus,88450
microtus obscurus,523745
microtus ochrogaster,79684
microtus oeconomus,64717
microtus pennsylvanicus,10058
microtus socialis,269658
mikrogeophagus ramirezi,284740
milvus migrans,52810
milvus milvus,43518
mimus parvulus,245849
mimus polyglottos,60713
miniopterus africanus,441364
miniopterus australis,117605
miniopterus fuliginosus,187007
miniopterus fuscus,187008
miniopterus gleni,409372
miniopterus griveaudi,568717
miniopterus inflatus,221087
miniopterus magnater,438766
miniopterus mahafaliensis,647620
miniopterus minor,221086
miniopterus mossambicus,1434095
miniopterus natalensis,291302
miniopterus pusillus,258934
miniopterus schreibersii,9433
miniopterus sororculus,947061
minous monodactylus,626227
miopithecus ogouensis,100488
miopithecus talapoin,36231
mirounga angustirostris,9716
mitu mitu,194921
mniotilta varia,182936
molossops neglectus,409036
molossus coibensis,999942
molossus currentium,1269259
molossus molossus,27622
molossus pretiosus,1982945
molossus rufus,124751
molossus sinaloae,58076
molothrus ater,84834
monachus monachus,248254
monodelphis iheringi,587434
monopterus albus,43700
montifringilla henrici,2557930
mops condylurus,258863
mops leucostigma,452596
mops midas,452595
morelia carinata,461328
morelia spilota,51896
morelia viridis,129333
mormopterus acetabulosus,525717
mormopterus jugularis,999964
morone americana,46260
morone chrysops,46259
morone saxatilis,34816
morone saxatilis x morone chrysops,1885027
moschus berezovskii,68408
moschus chrysogaster,68412
motacilla alba,45807
motacilla cinerea,56325
mugil cephalus,48193
mullus barbatus,37007
mullus surmuletus,87757
muntiacus reevesi,9886
murina aenea,685730
murina aurata,611780
murina cyclotis,177185
murina leucogaster,187017
murina ussuriensis,187021
mus baoulei,544437
mus booduga,27681
mus bufo,397332
mus caroli,10089
mus cervicolor,10097
mus cookii,10098
mus mattheyi,41270
mus minutoides,10105
mus musculoides,60742
mus musculus,10090
mus pahari,10093
mus setulosus,10102
mus spicilegus,10103
mus spretus,10096
mus terricolor,254704
mus triton,473865
muscicapa latirostris,670349
mustela kathiah,272460
mustela lutreola,9666
mustela nivalis,36239
mustela putorius,9668
mustela sibirica,36240
mustelus manazo,79736
myiarchus tyrannulus,196038
myiobius barbatus,190023
myiopsitta monachus,176066
myliobatis tobijei,55138
myocastor coypus,10157
myodes gapperi,473866
myodes glareolus,447135
myodes regulus,82464
myodes rufocanus,527686
myodes rutilus,537920
myonycteris torquata,77243
myosorex geata,150084
myosorex zinki,872998
myotis albescens,159322
myotis alcathoe,155916
myotis altarium,415933
myotis austroriparius,258936
myotis bechsteinii,59462
myotis blythii,109482
myotis brandtii,109478
myotis californicus,257882
myotis capaccinii,109477
myotis chiloensis,384634
myotis chinensis,225399
myotis ciliolabrum,257884
myotis dasycneme,159324
myotis daubentonii,98922
myotis davidii,225400
myotis emarginatus,109480
myotis escalerai,508772
myotis evotis,257883
myotis fimbriatus,452653
myotis frater,187012
myotis goudoti,203698
myotis horsfieldii,138977
myotis ikonnikovi,155915
myotis keaysi,159327
myotis keenii,257881
myotis laniger,452654
myotis leibii,27668
myotis levis,153285
myotis longipes,587652
myotis lucifugus,59463
myotis macrodactylus,187014
myotis macropus,138979
myotis muricola,159330
myotis myotis,51298
myotis myotis/blythii,1507424
myotis mystacinus,109479
myotis nattereri,109481
myotis nigricans,153286
myotis oxygnathus,412095
myotis oxyotus,159332
myotis pequinius,392004
myotis petax,526407
myotis punicus,386774
myotis ricketti,203696
myotis riparius,124752
myotis septentrionalis,258941
myotis siligorensis,258940
myotis thysanodes,153287
myotis velifer,9435
myotis volans,159335
myotis yumanensis,159337
myotomys unisulcatus,190455
myoxocephalus octodecemspinosus,68557
myrmecophaga tridactyla,71006
myrmoderus ferrugineus,468493
myrrophis chinensis,192589
mystacina tuberculata,94961
mystus gulio,568893
myuchelys georgesi,1041117
nadzikambia mlanjensis,414973
naemorhedus goral,34871
naja atra,8656
naja siamensis,84476
nanonycteris veldkampii,498220
nanorana parkeri,125878
nasalis larvatus,43780
nasua narica,352831
nasua nasua,9651
natrix maura,8585
natrix natrix,100823
neacomys musseri,218799
neacomys spinosus,48005
necromys benefactus,2059112
necromys lasiurus,30635
necromys obscurus,399317
necrosyrtes monachus,30399
nectomys squamipes,29117
negaprion brevirostris,7821
nematalosa erebi,316163
nemipterus randalli,1426789
nemipterus virgatus,450225
neochen jubata,8882
neochmia temporalis,247735
neodon clarkei,282341
neodon leucurus,399230
neofelis nebulosa,61452
neogobius melanostomus,47308
neomonachus schauinslandi,29088
neomys anomalus,52814
neomys fodiens,62282
neophema chrysogaster,678581
neophema splendida,492514
neopsephotus bourkii,309878
neoromicia brunneus,177184
neoromicia helios,1381466
neoromicia tenuipinnis,1238368
neotoma albigula,42408
neotoma cinerea,105147
neotoma lepida,56216
neotoma leucodon,268937
neotoma macrotis,349162
neotoma mexicana,105149
neotoma micropus,105150
neovison vison,452646
nephelomys albigularis,530178
nephelomys devius,1734924
nestor notabilis,176057
netta peposaca,541013
netta rufina,30387
neurergus crocatus,213851
neurotrichus gibbsii,182677
ninox boobook,507961
ninox novaeseelandiae,57242
ninox strenua,73883
nipponia nippon,128390
nisaetus nipalensis,214438
niviventer confucianus,248811
niviventer coninga,357352
niviventer eha,425033
niviventer excelsior,349709
niviventer fulvescens,83774
niviventer niviventer,83757
nomascus gabriellae,61852
nomascus leucogenys,61853
northiella haematogaster,504065
notamacropus agilis,9313
notemigonus crysoleucas,28800
notophthalmus viridescens,8316
notropis atherinoides,67550
numenius arquata,31919
numenius phaeopus,161676
numida meleagris,8996
nyctalus lasiopterus,59464
nyctalus leisleri,59465
nyctalus noctula,51300
nyctalus plancyi,375553
nyctalus velutinus,187011
nyctereutes procyonoides,34880
nycteris grandis,178896
nycteris hispida,270766
nycteris macrotis,175523
nycteris thebaica,59467
nycticebus coucang,9470
nycticebus pygmaeus,101278
nycticeius humeralis,27670
nycticorax nycticorax,8901
nyctimene cephalotes,170209
nyctinomops laticaudatus,27627
nyctinomops macrotis,124753
nyctophilus geoffroyi,258945
nyctophilus gouldi,59471
nymphicus hollandicus,13180
oceanodroma homochroa,126866
ochotona alpina,130819
ochotona curzoniae,130825
ochotona thibetana,130843
ocyphaps lophotes,187128
odobenus rosmarus,9707
odocoileus hemionus,9872
odocoileus virginianus,9874
odorrana tormota,448114
oecomys auyantepui,200943
oecomys bicolor,48011
oecomys rutilus,200942
oena capensis,115679
oenanthe isabellina,358819
okamejei acutispina,417955
okapia johnstoni,86973
oligodon formosanus,928514
oligoryzomys chacoensis,37015
oligoryzomys flavescens,218824
oligoryzomys fornesi,220337
oligoryzomys fulvescens,218825
oligoryzomys longicaudatus,137207
oligoryzomys mattogrossae,2034202
oligoryzomys microtis,48008
oligoryzomys nigripes,37017
oligoryzomys utiaritensis,1132650
oligoryzomys vegetus,37018
oncorhynchus clarkii,30962
oncorhynchus gilae,64185
oncorhynchus gorbuscha,8017
oncorhynchus keta,8018
oncorhynchus kisutch,8019
oncorhynchus masou,8020
oncorhynchus mykiss,8022
oncorhynchus nerka,8023
oncorhynchus tshawytscha,74940
ondatra zibethicus,10060
onychoprion fuscatus,425648
onychostruthus taczanowskii,356909
oophaga pumilio,51950
opheodrys aestivus,186591
opheodrys vernalis,469619
ophthalmotilapia ventralis,27755
oplegnathus fasciatus,163134
oplegnathus punctatus,163135
orcinus orca,9733
oreamnos americanus,34873
oreochromis aureus x oreochromis niloticus,239089
oreochromis mossambicus,8127
oreochromis niloticus,8128
oreochromis niloticus x oreochromis aureus,1569704
orientallactaga sibirica,234626
oriolus flavocinctus,449354
oriolus oriolus,181099
ortalis vetula,8984
oryctolagus cuniculus,9986
oryx dammah,59534
oryx gazella,9958
oryx leucoryx,39411
oryzoborus crassirostris,200159
oryzomys couesi,160399
oryzomys palustris,37020
osmerus mordax,8014
osphronemus goramy,270604
ostichthys japonicus,181437
ostracion cubicus,229058
otaria byronia,161932
otis tarda,73107
otocolobus manul,61408
otocyon megalotis,9624
otolemur crassicaudatus,9463
otomops madagascariensis,423244
otomops martiensseni,258867
otus scops,126827
ovibos moschatus,37176
ovis ammon,30527
ovis aries,9940
ovis canadensis,37174
ovis dalli,9943
ovis orientalis,469796
oxyeleotris lineolata,308080
oxyeleotris marmorata,86250
oxymycterus judex,196086
oxymycterus nasutus,134911
oxymycterus rufus,56230
oxyura jamaicensis,8884
pachytriton brevipes,377299
pagellus acarne,98817
pagellus erythrinus,50593
pagrus auratus,75562
pagrus auriga,63415
pagrus major,143350
pagrus pagrus,8173
paguma larvata,9675
pampus argenteus,206143
pampus punctatissimus,316145
pan paniscus,9597
pan troglodytes,9598
pangasianodon hypophthalmus,310915
panthera leo,9689
panthera onca,9690
panthera pardus,9691
panthera tigris,9694
panthera uncia,29064
pantherophis guttatus,94885
pantherophis obsoletus,39099
pantholops hodgsonii,59538
panurus biarmicus,181101
papio anubis,9555
papio cynocephalus,9556
papio hamadryas,9557
papio kindae,208091
papio papio,100937
papio ursinus,36229
parabuteo unicinctus,223492
paradoxurus hermaphroditus,71117
paradoxurus zeylonensis,643839
parahyaena brunnea,172271
parahypsugo crassulus,1286224
paralichthys lethostigma,141886
paralichthys olivaceus,8255
parambassis ranga,210632
parapercis lutevittata,744268
parapercis pacifica,1522411
parapercis sexfasciata,261519
parapristipoma trilineatum,360507
parascorpaena picta,626229
parastrellus hesperus,712816
paratriaenops furculus,258843
pardalotus punctatus,254575
parkesia noveboracensis,182947
parupeneus cyclostomus,586844
paruromys dominator,472713
parus major,9157
parvipsitta porphyrocephala,503988
passer domesticus,48849
passer montanus,9160
passerella iliaca,44389
passerina cyanea,84843
pavo cristatus,9049
pavo muticus,9050
pecari tajacu,9829
pelates quadrilineatus,546549
pelea capreolus,59552
pelecanus conspicillatus,317791
pelecanus crispus,36300
pelecanus erythrorhynchos,33618
pelecanus occidentalis,37043
pelecanus philippensis,459765
pelecus cultratus,317925
pelobates fuscus,191477
pelodiscus sinensis,13735
pelophylax chosenicus,512019
pelophylax lessonae,45623
pelophylax nigromaculatus,8409
pelophylax plancyi,109178
pelophylax ridibundus,8406
pelusios williamsi,55535
penelope superciliaris,8987
penelopina nigra,116996
peponocephala electra,103596
perameles bougainville,120735
perca flavescens,8167
perca fluviatilis,8168
percalates novemaculeata,45783
percocypris pingi,369654
percopsis omiscomaycus,81381
perdix perdix,9052
perimyotis subflavus,27672
periparus ater,156567
peromyscus attwateri,97206
peromyscus aztecus,57100
peromyscus beatae,99538
peromyscus boylii,56316
peromyscus californicus,42520
peromyscus crinitus,144753
peromyscus eremicus,42410
peromyscus hylocetes,57104
peromyscus leucopus,10041
peromyscus levipes,97209
peromyscus maniculatus,10042
peromyscus megalops,322709
peromyscus melanotis,42412
peromyscus mexicanus,56317
peromyscus ochraventer,414442
peromyscus pectoralis,97213
peromyscus spicilegus,57105
peromyscus truei,89101
peropteryx macrotis,249015
petaurus breviceps,34899
petrogale godmani,54082
petroica longipes,369490
petroica traversi,228564
phacochoerus aethiopicus,85517
phacochoerus africanus,41426
phalacrocorax auritus,56069
phalacrocorax brasilianus,37046
phalacrocorax capensis,146614
phalacrocorax capillatus,146617
phalacrocorax carbo,9209
phalacrocorax pelagicus,2723871
phascolarctos cinereus,38626
phasianus colchicus,9054
pheucticus melanocephalus,371919
philander opossum,9272
philantomba maxwellii,907741
philantomba monticola,907742
philesturnus carunculatus,192213
philydor erythrocercum,873176
phoca fasciata,39088
phoca groenlandica,39089
phoca largha,39090
phoca vitulina,9720
phocoena phocoena,9742
phocoena spinipinnis,27614
phodopus roborovskii,109678
phodopus sungorus,10044
phoebastria immutabilis,54020
phoeniconaias minor,704175
phoenicopterus chilensis,117000
phoenicopterus roseus,435638
phoenicopterus ruber,9217
phoeniculus purpureus,113189
phoenicurus auroreus,358814
phoenicurus phoenicurus,121423
photopectoralis bindus,274455
phylidonyris novaehollandiae,266418
phylloscopus collybita,48150
phylloscopus coronatus,125291
phylloscopus fuscatus,56430
phylloscopus inornatus,56436
phylloscopus proregulus,56435
phylloscopus schwarzi,56429
phylloscopus tenellipes,56440
phyllostomus discolor,89673
phyllostomus hastatus,9423
physeter catodon,9755
physiculus japonicus,181408
piaya minuta,121399
pica hudsonia,158052
pica nuttalli,114087
pica pica,34924
picoides villosus,51356
picus canus,301969
piliocolobus badius,164648
piliocolobus rufomitratus,591934
piliocolobus tephrosceles,591936
piliocolobus tholloni,591935
pimephales promelas,90988
pinicola enucleator,175947
pionites leucogaster,345186
pionus chalcopterus,151768
pionus fuscus,303320
pionus maximiliani,303305
pionus menstruus,13214
pipistrellus abramus,105295
pipistrellus coromandra,258946
pipistrellus hesperidus,294653
pipistrellus kuhlii,59472
pipistrellus nanulus,1001556
pipistrellus nathusii,59473
pipistrellus pipistrellus,59474
pipistrellus pygmaeus,246814
piranga ludoviciana,63520
pitangus sulphuratus,371930
pithecia pithecia,43777
pituophis catenifer,94850
pituophis melanoleucus,8595
planiliza affinis,479651
planiliza tade,455471
platalea minor,259913
platax orbicularis,75032
platichthys flesus,8260
platichthys stellatus,195632
platycephalus indicus,270568
platycephalus richardsoni,1230718
platycercus elegans,269190
platycercus eximius,141282
platycercus venustus,471715
platyrrhinus lineatus,410852
plecoglossus altivelis,61084
plecotus auritus,61862
plecotus austriacus,109483
plecotus gaisleri,272799
plecotus sacrimontis,360159
plectrophenax nivalis,161627
plectropomus leopardus,160734
plectropterus gambensis,658924
plegadis falcinellus,52788
pleuronectes platessa,8262
pleuronichthys japonicus,1195776
ploceus cucullatus,135448
ploceus melanocephalus,441723
ploceus ocularis,187443
ploceus vitellinus,441713
pluvialis fulva,371922
pluvialis squatarola,171273
podargus strigoides,8905
podiceps cristatus,345573
podiceps grisegena,80367
poecile atricapillus,48891
poecile carolinensis,48892
poecile montanus,48895
poecile palustris,48890
poecilia latipinna,48699
poecilia reticulata,8081
poecilia sphenops,69235
poephila acuticauda,259256
poephila personata,522439
pogona barbata,52202
pogona minor,206602
pogona vitticeps,103695
poicephalus cryptoxanthus,234075
poicephalus gulielmi,241588
poicephalus meyeri,281916
poicephalus robustus,190152
poicephalus rueppellii,1549155
poicephalus rufiventris,523728
poicephalus senegalus,176045
polioptila caerulea,66707
pollachius virens,8060
polypedates megacephalus,68449
polyplectron malacense,142660
polysticta stelleri,234623
polytelis anthopeplus,35545
polytelis swainsonii,1288897
pomacanthus imperator,109711
pomacanthus xanthometopon,109715
pomatoschistus minutus,13225
pongo abelii,9601
pongo pygmaeus,9600
porcula salvania,476284
poropanchax normani,691897
porphyrio martinica,54567
potamochoerus larvatus,273792
potamochoerus porcus,273791
potos flavus,29067
praomys derooi,1159791
praomys jacksoni,209866
praomys misonnei,209867
praomys mutoni,526885
praomys petteri,209868
praomys tullbergi,209869
priacanthus macracanthus,270572
primolius auricollis,178892
primolius couloni,178893
primolius maracana,178894
priodontes maximus,183752
prionailurus bengalensis,37029
prionailurus viverrinus,61388
prionodon linsang,94194
pristiapogon exostigma,316347
pristipomoides sieboldii,443712
probosciger aterrimus,141839
procapra gutturosa,157669
procapra przewalskii,157668
procarduelis nipalensis,175932
procavia capensis,9813
procolobus verus,373033
procyon cancrivorus,92522
procyon lotor,9654
proechimys cuvieri,128106
proechimys guyannensis,128105
proechimys semispinosus,1246547
progne subis,173220
promerops cafer,254652
propithecus coquereli,379532
propithecus diadema,83281
proscyllium habereri,263716
proteles cristata,9680
prunella modularis,181117
prunella montanella,187444
psammomys obesus,48139
psenopsis anomala,163124
psephotellus chrysopterygius,1107342
psephotellus dissimilis,515672
psephotellus varius,286129
psephotus haematonotus,176047
pseudacris maculata,242562
pseudanthias squamipinnis,270578
pseudemys concinna,270252
pseudocaranx dentex,349646
pseudochondrostoma polylepis,52620
pseudohemiculter dispar,352917
pseudois nayaur,59542
pseudopleuronectes americanus,8265
pseudopleuronectes yokohamae,245875
pseudorasbora parva,51549
pseudorca crassidens,82174
pseudorhombus arsius,253863
pseudorhombus cinnamoneus,171416
pseudoscops clamator,555335
psittacara erythrogenys,12946
psittacara leucophthalmus,178885
psittacara wagleri,867391
psittacula alexandri,232635
psittacula cyanocephala,232645
psittacula derbiana,57074
psittacula echo,232653
psittacula eques,1560315
psittacula eupatria,232655
psittacula finschii,703991
psittacula himalayana,232620
psittacula krameri,9228
psittacus erithacus,57247
psittacus timneh,1549196
psitteuteles goldiei,176074
ptenochirus jagori,132907
pterapogon kauderni,215349
pteroglossus viridis,285011
pteronotus alitonus,2203464
pteronotus davyi,94956
pteronotus parnellii,59476
pteronotus personatus,118856
pteronotus rubiginosus,280976
pterophyllum scalare,74131
pteropus alecto,9402
pteropus conspicillatus,328804
pteropus giganteus,143291
pteropus hypomelanus,9405
pteropus lylei,166054
pteropus melanotus,1562755
pteropus poliocephalus,9403
pteropus rufus,196297
pteropus scapulatus,94117
pteropus tonganus,77217
pteropus vampyrus,132908
pterygotrigla hemisticta,1367116
ptilonorhynchus violaceus,28724
ptilotula penicillata,481899
ptyas major,192173
pudu puda,163861
puma concolor,9696
puma yagouaroundi,1608482
purpureicephalus spurius,336387
pusa caspica,693431
pusa hispida,9718
pusa sibirica,9719
pycnonotus jocosus,182897
pycnonotus leucotis,1208751
pycnonotus sinensis,125283
pygathrix nemaeus,54133
pygocentrus nattereri,42514
pygoscelis adeliae,9238
pygoscelis antarcticus,79643
pygoscelis papua,30457
pyriglena leucoptera,265639
pyroderus scutatus,114375
pyrrhula erythaca,175815
pyrrhula pyrrhula,37607
pyrrhura cruentata,311901
pyrrhura frontalis,211511
pyrrhura griseipectus,311890
pyrrhura molinae,311895
python anchietae,1488551
python bivittatus,176946
python breitensteini,2083012
python brongersmai,461330
python curtus,143536
python molurus,51750
python regius,51751
pytilia hypogrammica,247529
pyxis arachnoides,66194
quasipaa spinosa,109965
quelea quelea,187445
quiscalus major,84780
quiscalus quiscula,84782
rachycentron canadum,141264
rallus aquaticus,54496
ramphastos toco,95723
ramphocelus carbo,36730
rana dalmatina,51331
rana dybowskii,71582
rana huanrensis,113383
rana temporaria,8407
rangifer tarandus,9870
ranoidea caerulea,30344
ranoidea splendida,30345
rattus andamanensis,69077
rattus annandalei,1799704
rattus argentiventer,83752
rattus exulans,34854
rattus flavipectus,69074
rattus hoffmanni,435406
rattus losea,69075
rattus nitidus,508668
rattus norvegicus,10116
rattus rattus,10117
rattus tanezumi,35732
rattus tiomanicus,83755
rattus xanthurus,2683850
recurvirostra novaehollandiae,2202208
regulus satrapa,13245
reinhardtius hippoglossoides,111784
reithrodontomys creper,319462
reithrodontomys fulvescens,56213
reithrodontomys megalotis,44234
reithrodontomys mexicanus,89150
reithrodontomys sumichrasti,89102
retropinna semoni,182228
rexea solandri,59946
rhabdomys pumilio,121573
rhabdophis tigrinus,126484
rhinella marina,8386
rhinobatos hynnicephalus,42863
rhinoceros unicornis,9809
rhinolophus acuminatus,320431
rhinolophus affinis,59477
rhinolophus alcyone,249024
rhinolophus arcuatus,76834
rhinolophus blasii,519037
rhinolophus blythi,376555
rhinolophus capensis,302408
rhinolophus clivosus,59478
rhinolophus coelophyllus,867891
rhinolophus cornutus,196296
rhinolophus creaghi,178895
rhinolophus darlingi,49443
rhinolophus denti,608656
rhinolophus eloquens,519038
rhinolophus euryale,109476
