Gene,C,Z,Pval,FDR,Module
DOCK8,0.4556967718658169,95.45386477384598,0.0,0.0,1.0
CPPED1,0.42916767040941955,95.30919812061632,0.0,0.0,1.0
RICTOR,0.45047223659778113,95.02583313303029,0.0,0.0,1.0
SLC12A6,0.425945368259604,94.18849639644037,0.0,0.0,1.0
USP32,0.404774886367011,93.15070731652257,0.0,0.0,1.0
RESF1,0.42506686214781775,92.75727528410114,0.0,0.0,1.0
TMEM154,0.4263454280209378,92.22506271721056,0.0,0.0,1.0
LCP1,0.39526957949348146,92.02936902415884,0.0,0.0,1.0
PARP8,0.45772408177923896,91.5111409858376,0.0,0.0,1.0
RNF24,0.42472881094360593,91.42234911503965,0.0,0.0,1.0
NABP1,0.4198385656955627,91.193616591596,0.0,0.0,1.0
MXD1,0.4000211412810197,90.87990825716523,0.0,0.0,1.0
CREB5,0.4530058855318211,90.87886027585849,0.0,0.0,1.0
AQP9,0.41397252809238677,90.63388925524441,0.0,0.0,1.0
IQGAP1,0.39722205843449104,90.457978189637,0.0,0.0,1.0
BAZ2B,0.42821430655046805,90.43908495143906,0.0,0.0,1.0
ARHGAP15,0.4682103128141699,89.84142771298708,0.0,0.0,1.0
FBXL5,0.4359087673681633,89.25696632697066,0.0,0.0,1.0
CTSS,0.3856539897442216,88.72195466625682,0.0,0.0,1.0
FAM129A,0.41931754338602195,88.20192261593043,0.0,0.0,1.0
XPO6,0.3891843488722845,88.13102186921827,0.0,0.0,1.0
CYTIP,0.4221073097813584,87.94234126342981,0.0,0.0,1.0
NCOA2,0.4095408872082568,87.89758761266638,0.0,0.0,1.0
RBM47,0.3902550705278478,86.99130607305088,0.0,0.0,1.0
SIPA1L1,0.42245384122418794,86.73567029726945,0.0,0.0,1.0
NEDD9,0.40771190849003014,86.46821140454539,0.0,0.0,1.0
ATP4B,0.2221133485939844,86.21212881680857,0.0,0.0,2.0
FCGR3B,0.36228533222737047,85.81092730611994,0.0,0.0,1.0
S100A8,0.41240821466337485,84.2740780759444,0.0,0.0,1.0
ACAP2,0.39138106518097465,84.15706532207457,0.0,0.0,1.0
ELF2,0.382818427675107,84.12552476459787,0.0,0.0,1.0
FYB1,0.36929410862465983,83.66742721890772,0.0,0.0,1.0
PKN2,0.40446459635739357,82.67150855011688,0.0,0.0,1.0
SRPK2,0.398092796613539,81.95767308343474,0.0,0.0,1.0
FNDC3B,0.41526246348370494,81.48060044504928,0.0,0.0,1.0
MEGF9,0.4257224185496244,81.07240271555692,0.0,0.0,1.0
MME,0.3759248771305011,80.54939591797594,0.0,0.0,1.0
AC010336.7,0.22588885755705193,80.4169460574127,0.0,0.0,2.0
TBXAS1,0.36277403599850083,80.36716924834447,0.0,0.0,1.0
PRKCB,0.3547754154408806,80.01159199168534,0.0,0.0,1.0
ASAP1,0.40075666000612364,79.65433605359911,0.0,0.0,1.0
BACH1,0.3704419539677745,79.57936899869938,0.0,0.0,1.0
RGS2,0.3657258378256322,79.04507243173212,0.0,0.0,1.0
UBR2,0.36595265630595647,78.99768803979246,0.0,0.0,1.0
OSBPL8,0.36344592804530323,78.90759817576209,0.0,0.0,1.0
GAB2,0.36360134662308635,78.87561911209005,0.0,0.0,1.0
ATP2B1,0.4007113236386133,78.51078144480508,0.0,0.0,1.0
PPP3CA,0.38232368922071264,78.32309560043714,0.0,0.0,1.0
PIAS1,0.3671340816907122,77.95162746591517,0.0,0.0,1.0
TMCC1,0.3458734690676619,77.88399539434036,0.0,0.0,1.0
MTMR3,0.34979148342274774,77.85724936535983,0.0,0.0,1.0
STEAP4,0.3657399573476164,77.65277382550134,0.0,0.0,1.0
VPS13B,0.3897422878420118,77.65053474966828,0.0,0.0,1.0
MCTP2,0.38663646090108633,77.3781180373488,0.0,0.0,1.0
SKAP2,0.3722138424457945,77.02031780560459,0.0,0.0,1.0
SMAP2,0.3203161537231348,76.92873345655937,0.0,0.0,1.0
STK17B,0.40134402602914704,76.88988168923176,0.0,0.0,1.0
GLT1D1,0.32642894906702796,76.74442063354539,0.0,0.0,1.0
SCLT1,0.37152034245438265,76.60585005219487,0.0,0.0,1.0
SPOPL,0.3629574907930635,76.2534423355636,0.0,0.0,1.0
DLEU2,0.3683568454901884,76.24620479803254,0.0,0.0,1.0
PCNX1,0.3800829380140299,76.15186255850891,0.0,0.0,1.0
CD46,0.3531054245062807,76.10164438555854,0.0,0.0,1.0
TLR2,0.36281278885645557,75.77400475031119,0.0,0.0,1.0
STK4,0.3348686395651311,75.7716071522253,0.0,0.0,1.0
MCL1,0.3199896388757249,75.73420476104594,0.0,0.0,1.0
ALPK1,0.36674843784630556,75.56848646325666,0.0,0.0,1.0
IGF2R,0.3248503864359642,75.50490522962129,0.0,0.0,1.0
PAN3,0.3566706605279923,75.44185605189041,0.0,0.0,1.0
PELI1,0.35352200547611246,75.35258522092457,0.0,0.0,1.0
SDCBP,0.35004543601199206,75.34494778166837,0.0,0.0,1.0
SEC14L1,0.31691976416387124,75.29625553588112,0.0,0.0,1.0
ACSL1,0.39779999423057366,75.2851454405134,0.0,0.0,1.0
DPYD,0.39479926712130375,75.22452907774203,0.0,0.0,1.0
RAP1A,0.3504137249137997,75.20068455024858,0.0,0.0,1.0
RNF13,0.34889319468653135,75.11349758732058,0.0,0.0,1.0
AGTPBP1,0.3526757889713397,74.97127657107274,0.0,0.0,1.0
SIK3,0.3180429942499194,74.92399487498571,0.0,0.0,1.0
QKI,0.37231247883730356,74.90020749251127,0.0,0.0,1.0
UBE2D3,0.35660379946816356,74.51929523263541,0.0,0.0,1.0
LUCAT1,0.3386705719963842,74.50991086181638,0.0,0.0,1.0
CFLAR,0.30290108243535213,74.42398272477163,0.0,0.0,1.0
GNAQ,0.344856466345869,73.96472719753662,0.0,0.0,1.0
DIP2B,0.3300508610374181,73.84376369073294,0.0,0.0,1.0
SLC8A1,0.35679643423564217,73.83627275403407,0.0,0.0,1.0
APBB1IP,0.33551819633940044,73.77166297414101,0.0,0.0,1.0
MBP,0.3099506030159405,73.55509398897631,0.0,0.0,1.0
ACTR3,0.326376468444109,73.34117643797643,0.0,0.0,1.0
HIF1A,0.35886993999334604,73.1076959181609,0.0,0.0,1.0
NT5C2,0.33388193320000814,72.92717350279318,0.0,0.0,1.0
PHF21A,0.3308798240460051,72.24255064574614,0.0,0.0,1.0
DOCK2,0.33349087815552575,72.20850995553549,0.0,0.0,1.0
TLR1,0.32074594502609777,71.79938529863894,0.0,0.0,1.0
RASSF3,0.3048514962659324,71.6499736312117,0.0,0.0,1.0
CHST11,0.3285877495548065,71.50727151559994,0.0,0.0,1.0
IL1RAP,0.341707827486535,71.3706361272435,0.0,0.0,1.0
AC016831.7,0.3524840795223365,71.32538075648408,0.0,0.0,1.0
KMT2C,0.32607314598147025,71.28165678187904,0.0,0.0,1.0
FRMD6-AS2,0.2014280765603286,71.20338443308322,0.0,0.0,2.0
SBF2,0.33102204910361893,71.00517353503967,0.0,0.0,1.0
HIPK3,0.3255895946305967,70.71444750337083,0.0,0.0,1.0
STAG2,0.3215439611749353,70.55507179549261,0.0,0.0,1.0
FCGR2A,0.29777695161581863,70.42835709465999,0.0,0.0,1.0
WIPF1,0.30963075876963186,70.12924527287757,0.0,0.0,1.0
JARID2,0.29970621779723056,69.61374959122625,0.0,0.0,1.0
PPP1R12A,0.3375178198669092,69.45988663481046,0.0,0.0,1.0
TNRC6B,0.2932999413203958,68.97278044139794,0.0,0.0,1.0
TGFBR2,0.33007531163418463,68.77311826491766,0.0,0.0,1.0
PREX1,0.2661159704770094,68.55404853929534,0.0,0.0,1.0
EGLN1,0.3285547212060847,68.36376307600656,0.0,0.0,1.0
SNRK,0.30318549860719746,68.30667368462055,0.0,0.0,1.0
DDX3X,0.2873289751198496,68.20581419360381,0.0,0.0,1.0
MAP3K2,0.32475708496726213,68.07651327662894,0.0,0.0,1.0
MARCH7,0.3131651046007499,68.00406553590389,0.0,0.0,1.0
SLCO3A1,0.3000467175824402,67.72577134644015,0.0,0.0,1.0
C16orf72,0.28974122876288394,67.61861178275407,0.0,0.0,1.0
DUSP1,0.29068732686201754,67.37706012732792,0.0,0.0,1.0
PLXDC2,0.35216779465321424,67.29122675759407,0.0,0.0,1.0
CAPZA1,0.2884845561477455,67.22692237077932,0.0,0.0,1.0
MAP3K5,0.30425554337441607,67.19523292736166,0.0,0.0,1.0
PLXNC1,0.305515291759645,66.20348446409098,0.0,0.0,1.0
NDEL1,0.2870936898158921,66.10944962412324,0.0,0.0,1.0
EVI2B,0.30089730494859357,65.98562657864615,0.0,0.0,1.0
NIPBL,0.32053592191041386,65.88116100654494,0.0,0.0,1.0
ZSWIM6,0.30662087646334835,65.59928809065416,0.0,0.0,1.0
PELI2,0.3211267382816996,65.06941464262395,0.0,0.0,1.0
AC008695.1,0.318273939033794,64.77640981925829,0.0,0.0,1.0
ST8SIA4,0.33585270372639275,64.75229696268349,0.0,0.0,1.0
ABHD2,0.286609004788601,64.71346694668199,0.0,0.0,1.0
ETV6,0.2940108312215161,64.63999376556288,0.0,0.0,1.0
LRMP,0.2831519845354926,64.61477713406987,0.0,0.0,1.0
AC239727.1,0.2088381133625189,64.26273967329924,0.0,0.0,2.0
IGF1R,0.29341776391584623,64.2084265361834,0.0,0.0,1.0
MBNL1,0.302260254404664,64.20459206493386,0.0,0.0,1.0
KCNJ15,0.32639111774286556,64.06889047527157,0.0,0.0,1.0
ATXN1,0.2950155616548653,64.06252332133225,0.0,0.0,1.0
YPEL5,0.28521390351522574,63.67636674729017,0.0,0.0,1.0
ATF6,0.2786399018755812,63.602954546821756,0.0,0.0,1.0
TBC1D1,0.3041104413488769,63.53088215420743,0.0,0.0,1.0
ROCK1,0.2790745742492657,63.52942383482544,0.0,0.0,1.0
GSK3B,0.31598278038490163,63.50705287677255,0.0,0.0,1.0
SELL,0.26755202387312405,63.50324687566008,0.0,0.0,1.0
