0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NFATC2,PELI1,VAV3,FAM129C,MIR646HG,PCAT1,AGAP1,GLDC,RNF24,SOS1,SMAD3,NXPE3,LATS2,EFL1,MGST3
TFDP2,MT-ND2,RUBCNL,ZBTB10,TXK,FRMD4A,ITGA9,OSBPL3,FYB1,KIF13B,PRKN,COBLL1,UBAC2,CDK5RAP1,AL157935.2
KLRD1,MEF2C,GALNT7,AC008878.3,SYTL2,AL136114.1,TRIO,MT-RNR2,KYNU,MAN1A2,ARID5B,AP005263.1,FOXP1,PTPN4,ZNF638
PRSS23,OSBPL10,ETV6,MICAL3,KLF12,STPG2,AFAP1L1,USP48,MAML3,SPCS2,PDLIM5,LMAN1,SPECC1,CAPN2,ZNF622
PTPN4,RPLP2,CLEC4C,LIX1-AS1,MYO1F,ASTN2,AC007744.1,EDEM3,DOCK5,ATRX,CBFA2T2,CREB3L2,WNK1,CBLB,TATDN1
GFOD1,ADAM19,HIVEP1,ARID1B,STIM1,NKAIN3,ANO2,ATXN1,TNFRSF1B,BCL2L11,TANC2,DAPP1,ANKRD28,LCP2,AL008633.1
DOCK5,SOS1,MED12L,RERE,PLEKHA2,GPC6,LDB2,TBC1D9,DOCK8,ITGB1,CRYBG1,AC026470.1,SATB1-AS1,PTK2B,FYN
MTSS1,HM13,CD74,TTN,AGAP1,AC007364.1,LRRC49,SSR4,TET2,MZB1,TCERG1,DLG1,AC090825.1,RAD21,ZNF227
YES1,USP48,MAP2K6,TANK,PRKY,RYR2,NRP1,HSP90B1,DOCK2,PAPSS1,MBD5,OXR1,AFF3,TOX,ARNTL
RIN3,RPL35A,QKI,BTG1,PDE3B,LHFPL6,NBEA,CHST15,PRKAG2,PAPOLA,ADD3,HIVEP2,AC008568.1,PDS5B,PARD3
HELZ,MAN2A1,B4GALT1,MAML2,PPP2R5C,GRIN2B,PHLDB2,AC078883.1,SMAP2,UBXN4,ZNF609,LRMP,PCM1,NUP107,NFIB
CEP78,STT3B,ASPH,CD69,TCF25,DLGAP1,EBF1,UBA6,PLSCR1,AC016074.2,EPC1,RBM33,RFX3,EIF3A,INO80
PTPN12,HSPA5,GGA2,CXCR4,IKZF2,DOCK3,TEAD1,IQCB1,THBS1,EVI5,HNRNPUL1,TPD52,PIK3CA,DLD,BTD
FYB1,HIPK2,C12orf75,SRPK2,RIN3,ALK,AL162718.1,CREB3L2,APLP2,AC244205.1,PDCD4,VOPP1,FAR2,ZNF131,EPAS1
RAP1B,LRMP,PRKCB,GNB1,HLA-C,AC107223.1,ABLIM3,FCRL5,CXCL8,PMM2,ZMIZ1,SUCLG2,KLF3-AS1,ABCE1,FCGR3A
CD96,RPS11,TTC7A,CDK14,CRY1,CNBD1,CNTLN,USP3,BACH1,NGLY1,EPHA4,SELENOS,CPSF6,EIF4G1,MED25
GNPTAB,CD38,SFMBT2,CD22,ARHGEF1,IL1RAPL1,PKP4,SEC63,ARAP1,BTG2,PLCB1,MDM2,FTX,KNL1,PSMC5
ARNTL,SCFD1,MEF2D,TAGAP,ADGRG1,ROBO1,MYO10,PARM1,GNAI3,CD38,IMMP2L,MAN1A2,TAPT1,COX16,ARHGDIB
FLNA,CREB3L2,TEX2,LINC00926,JAK1,KCNIP4,ITGA1,RIC1,MARCH1,SLC44A1,TMEM135,SNX25,PIK3AP1,LDHA,CDC37L1
FAM49B,MAP3K1,APBB1IP,DLEU2,FYB1,NAV2,MYO1E,ADAM19,RNF144B,GPHN,CHST11,SOS1,USP6NL,CSNK2A1,SLFN12L
LNPEP,HDLBP,LYN,SWAP70,NFATC3,CASC15,AL353138.1,SEL1L,TRPS1,EHD4,MACF1,RAB30,LINC01122,E2F1,AHNAK
DTHD1,SEC14L1,ITPR1,ST6GALNAC3,KLRK1,PLXDC2,MEF2A,SNX25,FGR,RPLP1,MBOAT2,PALM2-AKAP2,PPP1R12A,SMC1A,MAP7D1
ATP10A,IGLL5,PBX3,NFKB1,TNIK,POT1-AS1,CREB5,SNX29,RCOR1,OSBPL9,KLF12,ERC1,GSK3B,ZNF395,BCKDHB
ITGAL,DCC,OGT,SLC9A7,RORA,KAZN,ERG,MAN1A2,PLCB1,TOP1,SKI,EIF2AK3,GNB4,RPL39L,HFM1
RAB8B,RBM47,SH3KBP1,KMT2E,PTPRA,PTH2R,SBF2,NLK,STX11,UBE2J1,MAST4,SLC30A7,ADAM28,ATP2C1,DDX23
MYO1F,IL6ST,ELMO1,BTBD9,DOCK11,DAB1,TTC7B,GLCCI1,S100A8,TMEM156,RUNX1,ELF1,MCTP1,RBL1,IL21R
RABGAP1L,UBR5,USP15,LYST,ITGAL,NPSR1,SRGAP1,MB21D2,NOTCH2,DOCK8,SPOCK2,RPN1,LUC7L3,BAZ1A,GORAB
ZBTB16,EIF3A,SFT2D2,MT-CO3,CCSER2,INPP4B,THSD7A,RAPGEF1,MCL1,XRN1,AAK1,HSPA8,TRIM24,PSMD14,F11R
ATP8A1,ITGB1,STX7,ARID4B,SLA2,HDAC2-AS2,TSPAN18,SLAMF7,CLEC7A,UBR5,BRWD1,EDEM3,TCF7L2,CDC25A,DUSP11
IKZF2,GMDS,ELMSAN1,PIGB,IL2RB,NRG3,BMPR2,STT3B,CD83,USP6NL,SRPK2,VIM,HIF1A,MTMR3,TAFA1
BCL11B,TBC1D9,NR3C1,TRAK1,APOL6,AC103876.1,RIN2,SCFD1,CSF3R,DENND1B,DPP4,PCCA,ARGLU1,IREB2,KLF9
IGF2R,FAM214A,PTPRJ,PCDH9,ZNF831,AC116362.1,CSGALNACT1,TP63,FTH1,CHST15,SARAF,SPCS3,RELL1,HNRNPA3,WDR47
AAK1,ATXN1,CDC14A,GNA12,RASSF1,CCDC26,MEOX2,SPCS2,USP15,XBP1,CUL3,AC244205.1,KLHL5,CPSF7,SRRT
CRY1,CLIC4,IMMP2L,AC007384.1,PHF20,NELL1,PKD1L1,HM13,ELF2,SPCS3,CASK,P4HB,SLC4A4,UFD1,WDR25
LRBA,TMSB10,SEL1L3,AC105402.3,PTPRJ,NELL2,TANC1,PLCG2,SAMHD1,OGT,DUSP1,CCNC,SCMH1,WDR5,SELENOF
LINC01619,C11orf80,PI4KA,PHF20,ZAP70,SERINC5,STXBP6,CFLAR,PPP1CB,TLK1,PI4K2B,AP000893.2,CALCRL,CCND2,PLEKHA3
LITAF,TRAM2,AC007381.1,ARIH1,RASA2,HYDIN,NEAT1,PLXNC1,NUMB,MON2,GUCY1A1,SEL1L,SOX4,FAM126B,NIPBL
NFATC3,GALNT2,MAP3K2,ARHGAP17,TMEM181,AC058822.1,CACHD1,CLIC4,CD86,PDIA4,PSMC2,GNG7,KLF6,DIAPH3,ACIN1
SLFN5,SPCS3,ZMYM2,ITSN2,SCML4,MIR99AHG,STARD13,EEF2,LCP2,AKAP9,BAZ1A,LARGE1,MGMT,ATP2A2,ZC3H7B
MAPK1,RPL36,ITPR2,HIF1A,RFFL,LINC02241,FGD4,UBE2H,FRY,USP3,NR1D2,NEAT1,CPNE8,ZNF267,MCF2L2
GK5,SSR4,P3H2,SLC44A2,ETS1,POU6F2,IGF1R,GOLGA4,MICAL2,PCCA,B4GALT5,FUBP1,MAP3K20,THAP1,NXF1
GZMB,PIP5K1B,BX284613.2,CHPT1,SLFN12L,AL445250.1,CLIC5,HDLBP,REL,SEC24A,BCL11B,TRAM2,NR6A1,GSPT1,SEC24B
STAG2,ZBTB38,ANKRD11,TSC22D3,NCOA1,RALYL,MYO1B,ABI1,HCK,SEC31A,PDCD6IP,CPEB4,SLC12A2,ZBTB20,PYHIN1
SCML4,RPL34,ATAD2B,UVRAG,VAV3,KALRN,STOX2,UGGT2,RTN4,BTAF1,ZC3HAV1,ANKRD28,ARHGAP25,TMSB4X,PPME1
MAPRE2,PAPSS1,FOXP1,FNBP1,MBP,PRKG1,DNM3,SLC44A1,ASAH1,EML6,A2M,ARFGAP3,MAP4K5,RBM33,PPP1CB
PHACTR2,ARFGAP3,IRF4,WDFY4,SLFN5,GRID2,LURAP1L,ATP9B,SLC2A3,BX571818.1,SLC16A7,TRANK1,TMEM65,PIK3CD,ZBTB38
PRKACB,SEC61A1,OTULINL,JUND,MT-ND4,AC113414.1,ECT2,JMY,KCNQ1,ASCC3,ASAP1,SETBP1,RASA1,FNDC3A,UBE2Q1
APOL6,GNAS,WDFY2,BMP2K,ATP2B4,RNF219-AS1,MAGI3,SEC61A1,COP1,WARS,RAB8B,RIC1,ACYP2,ISY1,NLRC5
TMEM181,PLCG2,TFEC,GRK5,RAB8B,ATP8A2,NR5A2,IGKC,MEGF9,METTL7A,TSC22D2,FAM214A,BAZ2B,ZC3H18,RBBP5
RASA2,ENTPD1,UST,RRAS2,PYHIN1,SPAG16,PRELID2,GBF1,FGD4,ENTPD4,NOL4L,CLINT1,KIF13A,METTL25,ZNF43
ADGRG1,RPS24,CHD9,KDM2B,BCR,UNC5D,LAMA4,AL050309.1,FOSB,TXLNGY,MSRB3,NEDD9,LRRFIP1,AC021851.1,PURB
RAB27B,CDK17,ERN1,ST6GAL1,NOL4L,FSTL5,DPYSL3,AFF1,TMTC2,HIPK2,NCOA7,ZBTB20,UBE2H,CXXC5,SLC25A33
ARL15,PDIA6,STRBP,RPL13A,SPOCK2,AF279873.3,ADGRF5,LINC02384,SLC24A4,RBM47,DNPEP,RPS14,CALN1,PA2G4,LANCL1
MBP,AC244205.1,P2RY14,MT-RNR2,HELZ,ANK3,RUNX1T1,PALM2-AKAP2,SUSD6,PPIB,RNPS1,RRBP1,YWHAG,SMURF1,BRD9
PTPRJ,RPL37,MCC,PALM2-AKAP2,LINC01278,HECW1,TNFSF10,CSDE1,GLT1D1,MAN2A1,IKBKB,GPBP1,GFOD1,OAZ1,BCL2L2-PABPN1
GAB3,TMEM156,RREB1,BACH1,AF165147.1,ADGRV1,GAS2L3,BCL2,CCNL1,TRAM2,MICU3,CHD7,CDK13,CISD1,RPLP1
FBXL17,TOP1,SKAP2,SNX25,RPS27,AGBL1,GRB10,NUMB,ZFAND3,MB21D2,UBAC2,RPS6,AC092881.1,EIF4H,MT-ND3
L3MBTL4,OSBPL3,ST3GAL2,ELOVL5,GATAD2A,HPSE2,TSPAN9,SSR3,CHST11,RANBP9,HNRNPC,RASA2,NUP153,IMP4,RNF165
FOXN3,RALGPS2,TASP1,ACSM3,PRR5-ARHGAP8,MDGA2,RAPGEF2,ZBTB38,MTMR3,CHODL,AC004593.3,MAN2A1,PICALM,GTF2I,MSRB3
AF165147.1,GLDC,KYNU,OSBPL10,SPN,DRAIC,PLXNA2,EPRS,AC027644.4,ELMO1,TNRC6C,SIK3,ATP2C1,CDC7,RUNX3
CMIP,SSR1,RNF149,TBC1D22A,SH2D2A,GRIP1,EPAS1,TVP23C-CDRT4,CPQ,LCORL,LCP2,FARS2,SPON1,GORASP2,GXYLT1
ZMAT4,RPL8,IFI44L,TRAF3,ATAD2B,NRXN1,CHN1,PCGF5,ENTPD1,DNAJC1,FMN1,MB21D2,CD47,FAM111B,PARG
ANKRD44,RIC1,TBC1D8,STIM2,PDGFD,AC009975.1,EEA1,RPS29,PREX1,SLAMF7,URI1,GALNT2,SNHG14,MED13,AC009070.1
ITGB2,AC007161.3,ARID1B,MAP4K4,RN7SL5P,CSMD3,FAT4,AC007161.3,DSE,MEI1,GON4L,MTREX,STAT3,MCUB,CPQ
KIAA1109,ATP2A2,TSPAN13,PDE7B,SFI1,AL022068.1,GALNT18,AHNAK,ATP11A,HIBCH,ARFGEF1,KLF2,ARHGAP5,ZNF367,TCF7L2
ZFYVE28,PALM2-AKAP2,USP9Y,SDK2,PTPN4,LINC02141,PECAM1,UBR5,CD36,SPTBN1,NR3C2,DENND1A,ANKS1A,UBE2L3,TBC1D19
