Gene,C,Z,Pval,FDR,Module
IGKV2D-24,-0.0030988772736831602,-0.5387082679761188,0.7049559160717844,0.844796954628827,
SEMA3D,-0.0013737755931519538,-0.5387375355095114,0.7049660149980782,0.844796954628827,
LINC02188,-0.000683598389242409,-0.5387658103458103,0.7049757712374569,0.844796954628827,
AL121936.1,-0.000683598389242409,-0.5387658103458103,0.7049757712374569,0.844796954628827,
HES6,-0.0011003822856214631,-0.5387990233636125,0.7049872312077832,0.844796954628827,
RNY1P11,-0.0032842963082761823,-0.5388242929747978,0.7049959502116867,0.844796954628827,
AL050338.2,-0.001161639678003078,-0.5388307057173923,0.7049981628397348,0.844796954628827,
RPL6P27,-0.00491406811982792,-0.5388720734130202,0.7050124360066368,0.844796954628827,
TWIST1,-0.00046502549670944624,-0.5392570212988509,0.7051452399768732,0.844796954628827,
PCDH9-AS2,-0.0010250425306662745,-0.5392907764424109,0.7051568839195774,0.844796954628827,
FAM89A,-0.001884536793956797,-0.5393046670056686,0.7051616754514071,0.844796954628827,
AC087273.2,-0.0007498270596780228,-0.5394527792868453,0.7052127643592189,0.844796954628827,
AC004453.1,-0.004670842318662248,-0.539612823656648,0.7052679644574131,0.844796954628827,
ALAD,-0.002214226394965756,-0.5397145606300453,0.7053030515667174,0.844796954628827,
LINC00297,-0.00036882146801120344,-0.5397358205215209,0.7053103834476789,0.844796954628827,
TRIM50,-0.0007026793693228633,-0.5398710362029809,0.7053570131972212,0.844796954628827,
CTSE,-0.0006702497805188698,-0.5399188686865719,0.7053735076341564,0.844796954628827,
LINC00240,-0.0008141093311355308,-0.5400594259116999,0.7054219745796194,0.844796954628827,
CTU2,-0.0015808117202308312,-0.5402087338162144,0.7054734549048851,0.844796954628827,
AOX3P-AOX2P,-0.0009828092066703476,-0.5402765943274911,0.7054968513640281,0.844796954628827,
AC000113.1,-0.0014410128743737225,-0.5403231084518206,0.7055128876738905,0.844796954628827,
SULT2A1,-0.000959324801251831,-0.5403427318977279,0.7055196529745604,0.844796954628827,
BHMG1,-0.0009052696658890302,-0.5403585922334079,0.7055251208679907,0.844796954628827,
NUPR1,-0.0011872118236391266,-0.5404062292625504,0.7055415435803021,0.844796954628827,
MTCO2P22,-0.0024220012075304416,-0.5404105661725261,0.7055430386950465,0.844796954628827,
C1orf87,-0.0012032168005692897,-0.540413434375669,0.7055440274830278,0.844796954628827,
GRIA2,-0.0009720400127671781,-0.5404154886102235,0.7055447356615059,0.844796954628827,
LRRN2,-0.0014977135385582368,-0.5404560590563482,0.7055587217887542,0.844796954628827,
STARD6,-0.0023846378911910626,-0.5408257038616889,0.7056861378418174,0.844796954628827,
GGT5,-0.0009786548230077752,-0.540924167300658,0.7057200737577245,0.844796954628827,
ZNF454,-0.0013870634604368334,-0.5410442987425662,0.7057614752112175,0.844796954628827,
FO393411.1,-0.0027302929607584178,-0.541177595677,0.7058074107998038,0.844796954628827,
ZCCHC24,-0.0016905996251470265,-0.5414848082113022,0.7059132669957604,0.844796954628827,
RNASEK-C17orf49,-0.0010652077644655153,-0.541658989393763,0.7059732767692882,0.844796954628827,
TSPAN17,-0.0025178113048351315,-0.5416766792992881,0.7059793710674896,0.844796954628827,
SLC9B1P2,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
AC097450.1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
CYP2S1,-0.00039115706016701546,-0.5417700831438584,0.7060115483876799,0.844796954628827,
