Gene,C,Z,Pval,FDR,Module
IQGAP2,0.04393183157636284,1.8022869472301781,0.035750135542032754,0.04953686886404852,
SNHG29,0.06583156075123658,1.8013683995288199,0.0358224167299684,0.04962729001382561,
COPS3,0.0767190898699303,1.801130757877115,0.035841136408970936,0.04964348776332759,
SRCAP,0.030845383789488343,1.8006663618539769,0.03587774128153955,0.04968444705210653,
LIG3,0.08099011618147064,1.800213830714693,0.03591344039275813,0.049717788370287196,
NEK9,0.036566397337548295,1.800182743778094,0.03591589383544388,0.049717788370287196,
ZNF766,0.044909934084141824,1.8000291729229418,0.03592801596651286,0.049724824605691,
AC025283.3,0.030909519738914495,1.7992234411100536,0.035991671423377225,0.049803166882416594,
KCTD12,0.04054612321247427,1.798617074309591,0.03603963728484764,0.049853030908198606,
CLOCK,0.05709771820315242,1.7985894748326898,0.03604182175087348,0.049853030908198606,
AHSA2P,0.028937878093711886,1.7983650649171419,0.036059587556649786,0.04986783995696439,
AC137834.1,0.06651518727415975,1.798104936748172,0.03608019003508835,0.0498865653567947,
MTF2,0.047551338831854646,1.797559196365045,0.03612344468753497,0.049936597509343844,
AMPD3,0.01574257110519,1.7974168344035877,0.036134735086603885,0.04994243174560161,
CCNG1,0.08039470924457537,1.7963586270913396,0.03621874966640643,0.05004875736375099,
LINC00884,0.024314763297337647,1.7961258874643489,0.036237249073755716,0.050064527177197414,
GHITM,0.05310039940667786,1.795474889863052,0.03628903497552883,0.05012626966506368,
SGK1,0.030483907130145312,1.7952983454739684,0.03630308925948486,0.050127778295054756,
DCUN1D1,0.039272842160559776,1.7952828929002667,0.03630431961459515,0.050127778295054756,
MIA-RAB4B,0.05777701704606078,1.7946369952902579,0.03635577740653986,0.05018901926906344,
AC092745.5,0.08939502934327703,1.7944585241881243,0.03637000648050936,0.05019885224273507,
ALDH4A1,0.09913220135648053,1.7943623671716444,0.03637767473863672,0.05019962773075401,
RRP15,0.032660131286612125,1.794085351994506,0.03639977333603887,0.05022031227456612,
QTRT2,0.04590667521270603,1.7934993691199765,0.03644655571185745,0.05027503799034584,
STPG2,0.04044876343068015,1.7929975806040463,0.036486655465538004,0.050320526007137927,
HCFC2,0.025822372918275854,1.7927274020388464,0.03650826136952624,0.05034049547420133,
CACNB2,0.06443357469930902,1.7922551676561116,0.036546050610060464,0.05038276766383043,
JARID2,0.02803719996860468,1.7917565385046312,0.03658598674840967,0.0504279825152714,
CAPN2,0.035193997094251354,1.7912277093050761,0.036628380669568784,0.05047258472782226,
USP31,0.08301411932545244,1.7911746531142336,0.036632636169244726,0.05047258472782226,
TNIP2,0.030254865025077345,1.7899557744646692,0.03673051069278951,0.05059756777181457,
SLC4A8,0.04029040409613987,1.7893181722710703,0.03678179453950518,0.050647127409225924,
MEI1,0.04797486052709357,1.7892863620914425,0.03678435464001115,0.050647127409225924,
TENT2,0.057042782059342156,1.7891681181302421,0.03679387225572964,0.050647127409225924,
AC008105.3,0.040292650076866644,1.7891520377615375,0.03679516674181023,0.050647127409225924,
CUL1,0.03380929882746167,1.7885630530287637,0.036842606283910895,0.05070254642305602,
TENT4B,0.058157295784931014,1.788181019141711,0.03687340378412086,0.05073504564297424,
PKD1,0.014025519407931971,1.786585298147233,0.037002269818167004,0.050902440894942884,
AC027097.1,0.06075496464103684,1.7856433948011987,0.03707850796733576,0.05099738712641351,
HMGN1,0.16455493857469675,1.7855298381216302,0.037087707970033225,0.05100011078456584,
P4HA1,0.0228884238312349,1.7853949711337511,0.03709863689003713,0.051005210391440695,
SLC25A20,0.05670681108649895,1.7850486458501924,0.03712671334951609,0.05103387878983881,
NAB1,0.02251955568655687,1.7843462094229354,0.03718371293295499,0.05108514419982972,
LYPLA1,0.04632267384800951,1.7843259541305045,0.03718535761972792,0.05108514419982972,
TTC27,0.06344470597685474,1.784321691100852,0.03718570377626337,0.05108514419982972,
PSMB7,0.03950064134782623,1.7829043082427356,0.037300940833679644,0.05123349135701206,
DCP1A,0.021371342040456764,1.7825070014233524,0.037333295251738646,0.05125994148522829,
PPP2R2A,0.0341983988081647,1.7824896219365385,0.03733471106193369,0.05125994148522829,
CAPS2,0.03328886204122086,1.7823136770895838,0.03734904678051548,0.05126965924165593,
MKNK1,0.035805695530902806,1.7821868283215285,0.03735938501450864,0.05127208593181693,
USP9X,0.04820965363102936,1.7821138845159237,0.03736533102732072,0.05127208593181693,
PPARD,0.015889619649096368,1.7820129791254187,0.03737355760242507,0.051273414430672105,
PIK3CG,0.03376582743256746,1.781409607211504,0.037422779948698845,0.0513309742830308,
RN7SL3,0.032565624067972115,1.780609626568299,0.03748812302120123,0.051405960902677676,
CSRNP2,0.03386214681619957,1.7805621582939244,0.0374920031951579,0.051405960902677676,
RANBP10,0.04458062978649007,1.7792024151189805,0.03760329128861009,0.05154854447171389,
AC116366.3,0.023742707160966364,1.7783404404094483,0.037673979128953,0.05163542657487854,
MLYCD,0.010228052227544361,1.7775048927442252,0.03774260327265625,0.05171944704520732,
AC013394.1,0.035108770046526475,1.777363721355095,0.03775420785196979,0.051725315024498564,
AC026470.1,0.06088778741866726,1.7762655972748065,0.03784457538272434,0.051839069323941195,
DOK3,0.020728244065792868,1.7749955666101842,0.037949309608085596,0.05197245503519128,
AC087633.2,0.044034968348679385,1.7748900714943188,0.037958019985482455,0.051974307652151205,
MLEC,0.06419038704044529,1.7747943414761094,0.03796592550317547,0.0519750577043472,
CCNYL1,0.023580085940645826,1.7744076446111443,0.037997873140513595,0.052008714563958156,
PGS1,0.0366079331724186,1.7738331454411846,0.038045376886024204,0.05206031497039657,
MTRNR2L12,0.0343332913058449,1.7737734910832457,0.03805031231485808,0.05206031497039657,
TFRC,0.024824158563433847,1.7726891595097025,0.03814011419573108,0.05217227178997356,
ARL8B,0.046991092164784254,1.772607167207493,0.03814691163578899,0.05217227178997356,
TESC,0.08281711791630136,1.7714584840704641,0.03824224528960746,0.05229253208009815,
TRIQK,0.016470215544221525,1.7708285078381407,0.038294611887993865,0.05234427857777257,
TMEM39A,0.04891767608102028,1.7708249448884648,0.03829490822337608,0.05234427857777257,
TMEM33,0.07280612491009356,1.76994943097633,0.03836778260647685,0.05242416090811655,
STRAP,0.04696026861365853,1.7699445102177132,0.038368192510611916,0.05242416090811655,
MDM4,0.04076051090631652,1.7692502844368259,0.03842605800618565,0.05249307169903219,
TSC1,0.05443971887152415,1.7685746148971877,0.03848244508255335,0.05255993659380449,
CHMP2B,0.025823146942890268,1.7680768184159856,0.0385240311373516,0.05260656407389362,
ARAP1,0.031382764852799776,1.7677579891070263,0.03855068546112834,0.05263278741735806,
TRIM41,0.038586333307172795,1.7669532351572403,0.03861803022619151,0.052714544061413876,
FBXO11,0.03662125279792282,1.7666765021198858,0.03864121040057618,0.052735995028916176,
RPL27,0.013540343648211101,1.7664232859522413,0.03866243064708408,0.05275476339405098,
CERS4,0.03653739531885316,1.7662261716260204,0.03867895596861872,0.05276711953694914,
TRIM52,0.02807843464298087,1.7657997070543174,0.03871472884373315,0.05280572399152944,
EAPP,0.028373575097369888,1.7656977603009578,0.03872328437344283,0.0528071970683398,
CASC4,0.045117818305045784,1.7644688671507356,0.03882653623002253,0.052937782653711477,
CRTC1,0.024445474062906845,1.7642878248166287,0.03884176637810295,0.052948328385742816,
TENT5A,0.05120847031083275,1.7634807570430597,0.03890971998868579,0.05303072776385808,
AP000311.1,0.03944682220709043,1.7630923297071965,0.038942459343901614,0.05305799289864626,
SLC7A1,0.06529542112059589,1.7630101082641205,0.03894939241447828,0.05305799289864626,
REL,0.02968557910410247,1.7629126404696533,0.03895761238870933,0.05305799289864626,
CCT4,0.04817897632696312,1.7628870697755146,0.038959769134382524,0.05305799289864626,
ADAM9,0.04240093906450135,1.7625643117681795,0.038987000334651134,0.05308484394062753,
AL109930.1,0.04199971314271492,1.7619964065028686,0.03903495231407041,0.05312969471859554,
MAPRE2,0.0459638194892866,1.761996050508201,0.0390349823880961,0.05312969471859554,
SHPRH,0.03188205102197165,1.7617277759539707,0.03905765128228352,0.0531503079672608,
ZC3H12C,0.05314860680989115,1.7616334001151914,0.03906562848103117,0.05315092442026274,
GTF3C2,0.045563154979558235,1.7613888812053566,0.03908630282209946,0.05316006520009186,
ZGRF1,0.07949736898566082,1.7613759326660063,0.039087397883533,0.05316006520009186,
AP5M1,0.05959828800669106,1.7610738131175594,0.0391129553050083,0.0531845844609391,
ITFG2,0.02750459173892444,1.7598198072526985,0.0392191817954294,0.05330931109666403,
TRIP11,0.05175963394801787,1.7598128136135065,0.03921977488241265,0.05330931109666403,
MOB3B,0.07284764538538845,1.7596311955916126,0.039235179332027005,0.05331998976557113,
MSRB1,0.0283672113527346,1.758944922164864,0.0392934320295297,0.053388883219195576,
ACSM3,0.037889442834364816,1.7584082854814047,0.03933903218344776,0.053440562181514425,
GMDS-DT,0.03125307455592845,1.7578396561686198,0.03938739785501902,0.05349597739816465,
UHRF1BP1,0.039235508641528555,1.7576068221093377,0.03940721588219127,0.05351260534252194,
HERC6,0.04210883365696082,1.757382973931358,0.03942627671055364,0.05352469292802863,
RHBDD1,0.04043056105260034,1.7573087672350602,0.039432597117558255,0.05352469292802863,
CHST12,0.03969888633646351,1.7572353789877584,0.03943884862547976,0.05352469292802863,
